user_id,kac,count_initial_scan_subscriptions,days,rollup_count,unsubscribe_count,inbox_count,fresh_count,unknown_count,domains_gmail,domains_others,signup_origin_Web App,signup_origin_iPhone,Mean_Pred_days,Med_Pred_days
4179777,0,212,279,0.0,36.0,33.0,143.0,0.0,0.0,1.0,1.0,0.0,223.990874888,223.990874888
4986295,0,10,9,2.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,199.035412761,199.035412761
2653929,0,306,437,0.0,5.0,12.0,289.0,0.0,1.0,0.0,1.0,0.0,213.561276791,213.561276791
4666089,0,135,175,0.0,6.0,18.0,111.0,0.0,1.0,0.0,1.0,0.0,205.780301524,205.780301524
3842950,0,249,305,0.0,80.0,9.0,160.0,0.0,1.0,0.0,0.0,1.0,242.518253751,242.518253751
4361706,0,177,163,0.0,75.0,5.0,97.0,0.0,1.0,0.0,1.0,0.0,221.237591833,221.237591833
3254829,0,644,369,52.0,162.0,8.0,422.0,0.0,1.0,0.0,1.0,0.0,289.181458614,289.181458614
5135386,0,92,36,34.0,15.0,4.0,39.0,0.0,1.0,0.0,1.0,0.0,211.781388427,211.781388427
4537421,0,468,239,89.0,74.0,27.0,278.0,0.0,1.0,0.0,1.0,0.0,262.737277167,262.737277167
1185425,0,728,842,69.0,385.0,110.0,164.0,0.0,1.0,0.0,1.0,0.0,402.51056937,402.51056937
406266,0,412,963,117.0,242.0,47.0,6.0,0.0,1.0,0.0,1.0,0.0,322.68253679,322.68253679
4066605,0,729,310,0.0,517.0,165.0,47.0,0.0,1.0,0.0,1.0,0.0,439.551476986,439.551476986
1486948,0,484,794,4.0,431.0,19.0,30.0,0.0,1.0,0.0,1.0,0.0,354.501633074,354.501633074
4058032,0,60,329,7.0,43.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,229.351358076,229.351358076
4623015,0,159,65,40.0,117.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,238.969160108,238.969160108
4641597,0,269,200,10.0,207.0,31.0,21.0,0.0,1.0,0.0,0.0,1.0,272.752549766,272.752549766
3771673,0,284,310,53.0,47.0,29.0,155.0,0.0,1.0,0.0,0.0,1.0,249.348387473,249.348387473
5117904,0,138,15,0.0,5.0,3.0,130.0,0.0,1.0,0.0,1.0,0.0,205.010366137,205.010366137
3607142,0,2479,343,121.0,282.0,223.0,1853.0,0.0,1.0,0.0,0.0,1.0,535.270073161,535.270073161
3120213,0,362,414,21.0,100.0,23.0,218.0,0.0,0.0,1.0,1.0,0.0,252.160098797,252.160098797
4548873,0,509,117,10.0,441.0,47.0,11.0,0.0,1.0,0.0,0.0,1.0,342.934639542,342.934639542
4924151,0,142,102,41.0,73.0,13.0,15.0,0.0,1.0,0.0,1.0,0.0,228.746812425,228.746812425
3382763,0,162,205,56.0,74.0,11.0,21.0,0.0,1.0,0.0,1.0,0.0,233.580694285,233.580694285
4756917,0,417,120,0.0,339.0,27.0,51.0,0.0,1.0,0.0,0.0,1.0,308.282571227,308.282571227
658625,0,913,847,0.0,55.0,18.0,840.0,0.0,1.0,0.0,1.0,0.0,262.12390158,262.12390158
2356337,0,645,576,0.0,29.0,182.0,434.0,0.0,1.0,0.0,1.0,0.0,247.437222924,247.437222924
451365,0,1440,854,207.0,409.0,78.0,746.0,0.0,1.0,0.0,1.0,0.0,653.20168836,653.20168836
